drug_name,brand_name,tier,drug_class,covered_conditions,formulary_status,prior_auth_required,step_therapy_required,quantity_limit,days_supply_retail,days_supply_mail_order,bronze_copay,silver_copay,gold_copay,specialty_pharmacy_only,notes
metformin,Glucophage,1,Biguanide,Type 2 Diabetes,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
lisinopril,Zestril,1,ACE Inhibitor,"Hypertension, Heart Failure",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
amlodipine,Norvasc,1,Calcium Channel Blocker,Hypertension,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
atorvastatin,Lipitor,1,Statin,High Cholesterol,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
omeprazole,Prilosec,1,PPI,"GERD, Ulcers",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
levothyroxine,Synthroid,1,Thyroid Hormone,Hypothyroidism,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
sertraline,Zoloft,1,SSRI,"Depression, Anxiety",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
escitalopram,Lexapro,1,SSRI,"Depression, Anxiety",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
fluoxetine,Prozac,1,SSRI,Depression,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
alprazolam,Xanax,1,Benzodiazepine,Anxiety,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
lorazepam,Ativan,1,Benzodiazepine,Anxiety,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
metoprolol,Lopressor,1,Beta Blocker,"Hypertension, Heart Failure",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
carvedilol,Coreg,1,Beta Blocker,Heart Failure,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
furosemide,Lasix,1,Loop Diuretic,"Edema, Heart Failure",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
hydrochlorothiazide,Microzide,1,Thiazide Diuretic,Hypertension,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
albuterol,ProAir,1,SABA,"Asthma, COPD",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
montelukast,Singulair,1,Leukotriene Modifier,"Asthma, Allergies",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
fluticasone nasal,Flonase,1,Intranasal Corticosteroid,Allergic Rhinitis,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
cetirizine,Zyrtec,1,Antihistamine,Allergies,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
loratadine,Claritin,1,Antihistamine,Allergies,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
amoxicillin,Amoxil,1,Penicillin Antibiotic,Bacterial Infections,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
azithromycin,Zithromax,1,Macrolide Antibiotic,Bacterial Infections,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
doxycycline,Vibramycin,1,Tetracycline Antibiotic,Bacterial Infections,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
ciprofloxacin,Cipro,1,Fluoroquinolone,Bacterial Infections,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
trimethoprim-sulfamethoxazole,Bactrim,1,Sulfonamide,"UTI, Infections",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
gabapentin,Neurontin,1,Anticonvulsant,"Neuropathy, Seizures",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
pregabalin,Lyrica,1,Anticonvulsant,"Neuropathy, Fibromyalgia",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
tramadol,Ultram,1,Opioid Analgesic,Moderate Pain,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
ibuprofen,Advil,1,NSAID,"Pain, Inflammation",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
naproxen,Aleve,1,NSAID,"Pain, Inflammation",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
cyclobenzaprine,Flexeril,1,Muscle Relaxant,Muscle Spasm,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
prednisone,Deltasone,1,Corticosteroid,Inflammation,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
methylprednisolone,Medrol,1,Corticosteroid,Inflammation,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
pantoprazole,Protonix,1,PPI,GERD,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
lansoprazole,Prevacid,1,PPI,GERD,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
clopidogrel,Plavix,1,Antiplatelet,"CAD, Stroke Prevention",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
warfarin,Coumadin,1,Anticoagulant,"Atrial Fibrillation, DVT",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
digoxin,Lanoxin,1,Cardiac Glycoside,"Heart Failure, Afib",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
spironolactone,Aldactone,1,Aldosterone Antagonist,"Heart Failure, HTN",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
losartan,Cozaar,1,ARB,Hypertension,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
valsartan,Diovan,1,ARB,"Hypertension, Heart Failure",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
glipizide,Glucotrol,1,Sulfonylurea,Type 2 Diabetes,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
glyburide,Diabeta,1,Sulfonylurea,Type 2 Diabetes,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
pioglitazone,Actos,1,TZD,Type 2 Diabetes,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
sitagliptin,Januvia,1,DPP-4 Inhibitor,Type 2 Diabetes,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
glimepiride,Amaryl,1,Sulfonylurea,Type 2 Diabetes,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
tamsulosin,Flomax,1,Alpha Blocker,BPH,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
finasteride,Proscar,1,5-Alpha Reductase Inhibitor,BPH,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
sildenafil,Viagra,1,PDE5 Inhibitor,Erectile Dysfunction,Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
tadalafil,Cialis,1,PDE5 Inhibitor,"Erectile Dysfunction, BPH",Covered,No,No,90-day max (retail),30,90,$15,$10,$5,No,
fluticasone/salmeterol,Advair Diskus,2,ICS/LABA,"Asthma, COPD",Covered,No,No,No,30,90,$55,$40,$25,No,
budesonide/formoterol,Symbicort,2,ICS/LABA,"Asthma, COPD",Covered,No,No,No,30,90,$55,$40,$25,No,
tiotropium,Spiriva,2,LAMA,COPD,Covered,No,No,No,30,90,$55,$40,$25,No,
umeclidinium/vilanterol,Anoro Ellipta,2,LAMA/LABA,COPD,Covered,No,No,No,30,90,$55,$40,$25,No,
rosuvastatin,Crestor,2,Statin,High Cholesterol,Covered,No,No,No,30,90,$55,$40,$25,No,
ezetimibe,Zetia,2,Cholesterol Absorption Inhibitor,High Cholesterol,Covered,No,No,No,30,90,$55,$40,$25,No,
empagliflozin,Jardiance,2,SGLT-2 Inhibitor,"Type 2 Diabetes, Heart Failure",Covered,No,No,No,30,90,$55,$40,$25,No,
canagliflozin,Invokana,2,SGLT-2 Inhibitor,Type 2 Diabetes,Covered,No,No,No,30,90,$55,$40,$25,No,
dapagliflozin,Farxiga,2,SGLT-2 Inhibitor,"Type 2 Diabetes, Heart Failure",Covered,No,No,No,30,90,$55,$40,$25,No,
liraglutide,Victoza,2,GLP-1 RA,Type 2 Diabetes,Covered,No,No,No,30,90,$55,$40,$25,No,
dulaglutide,Trulicity,2,GLP-1 RA,Type 2 Diabetes,Covered,No,No,No,30,90,$55,$40,$25,No,
exenatide,Byetta,2,GLP-1 RA,Type 2 Diabetes,Covered,No,No,No,30,90,$55,$40,$25,No,
insulin glargine,Lantus/Basaglar,2,Long-acting Insulin,Diabetes,Covered,No,No,No,30,90,$55,$40,$25,No,
insulin aspart,NovoLog,2,Rapid-acting Insulin,Diabetes,Covered,No,No,No,30,90,$55,$40,$25,No,
